iter	Passed	Remaining
0	33	25628
1	58	22435
2	90	22917
3	118	22558
4	144	21918
5	168	21339
6	194	20994
7	217	20583
8	243	20467
9	269	20286
10	295	20243
11	320	20091
12	344	19886
13	375	20096
14	403	20166
15	429	20067
16	453	19927
17	480	19898
18	500	19627
19	527	19630
20	552	19546
21	581	19606
22	605	19500
23	627	19354
24	652	19293
25	675	19170
26	697	19029
27	723	19006
28	749	18986
29	773	18933
30	797	18850
31	821	18787
32	845	18726
33	867	18626
34	889	18516
35	912	18444
36	936	18395
37	961	18374
38	989	18401
39	1019	18448
40	1045	18430
41	1070	18404
42	1098	18424
43	1122	18374
44	1149	18369
45	1175	18344
46	1199	18301
47	1223	18255
48	1249	18237
49	1274	18199
50	1299	18172
51	1323	18128
52	1350	18111
53	1373	18058
54	1397	18010
55	1420	17954
56	1445	17927
57	1469	17886
58	1494	17861
59	1517	17806
60	1539	17738
61	1563	17699
62	1585	17636
63	1610	17615
64	1631	17548
65	1654	17499
66	1677	17455
67	1701	17410
68	1727	17397
69	1751	17366
70	1775	17330
71	1801	17315
72	1825	17282
73	1849	17245
74	1870	17184
75	1893	17145
76	1915	17091
77	1941	17071
78	1963	17028
79	1991	17030
80	2012	16972
81	2038	16954
82	2067	16964
83	2094	16953
84	2118	16926
85	2142	16892
86	2165	16853
87	2189	16815
88	2214	16798
89	2238	16767
90	2265	16754
91	2292	16747
92	2314	16698
93	2339	16675
94	2362	16636
95	2385	16600
96	2411	16581
97	2436	16555
98	2459	16522
99	2483	16488
100	2509	16471
101	2530	16420
102	2551	16374
103	2571	16320
104	2591	16262
105	2610	16206
106	2636	16189
107	2659	16155
108	2679	16104
109	2705	16083
110	2728	16050
111	2752	16025
112	2774	15981
113	2798	15956
114	2820	15916
115	2842	15879
116	2866	15853
117	2888	15811
118	2910	15774
119	2936	15760
120	2961	15739
121	2989	15731
122	3011	15691
123	3037	15677
124	3062	15653
125	3089	15643
126	3116	15631
127	3144	15622
128	3168	15598
129	3195	15583
130	3222	15573
131	3251	15566
132	3275	15541
133	3299	15512
134	3324	15490
135	3348	15462
136	3371	15428
137	3396	15408
138	3423	15391
139	3447	15366
140	3469	15327
141	3492	15298
142	3512	15255
